ST_CASE,STATE_NAME,CITY_NAME,COUNTY_NAME,RUR_URB_NAME,TYP_INT_NAME,TWAY_ID,TWAY_ID2,HARM_EV_NAME,FATALS,DRUNK_DR,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,PERNOTMVIT,PERMVIT,PERSONS,MONTH_NAME,DAY_WEEK_NAME,WEATHER_NAME,LGT_COND_NAME,LATITUDE,LONGITUD
120671,FLORIDA,Not Applicable,PASCO,Urban,T-Intersection,US-41,LEONARD RD,Motor Vehicle in Transport,1,0,2,2,0,0,0,3,3,April,Friday,Clear,Daylight,28.1886,-82.4663
120672,FLORIDA,Not Applicable,FLAGLER,Rural,Not an Intersection,SR-A1A,,Motor Vehicle in Transport,2,1,4,4,0,0,0,8,8,March,Friday,Clear,Dusk,29.5437,-81.1590
120673,FLORIDA,JACKSONVILLE,DUVAL,Urban,T-Intersection,US-17,I-295,Motor Vehicle in Transport,1,0,2,2,0,0,0,3,3,April,Friday,Clear,Dark - Lighted,30.4575,-81.6358
120675,FLORIDA,Not Applicable,MIAMI-DADE,Urban,Not an Intersection,I-95,,Motor Vehicle in Transport,1,0,2,2,0,0,0,5,5,April,Wednesday,Clear,Daylight,25.8693,-80.2085
120676,FLORIDA,Not Applicable,ORANGE,Urban,T-Intersection,6TH ST,18329 BELLMORE AVE,Traffic Sign Support,1,1,1,1,0,1,1,1,1,April,Saturday,Clear,Dark - Not Lighted,28.5844,-81.1081
120677,FLORIDA,Not Applicable,ORANGE,Urban,T-Intersection,SR-50,BERKELEY ST,Motor Vehicle in Transport,1,1,2,2,0,0,0,2,2,April,Monday,Clear,Dark - Not Lighted,28.5518,-81.1016
120678,FLORIDA,Not Applicable,BAY,Rural,Not an Intersection,SR-77,WOODLAND RD,Motor Vehicle in Transport,1,1,2,2,0,0,0,3,3,April,Thursday,Clear,Dark - Not Lighted,30.3989,-85.6894
120679,FLORIDA,Not Applicable,JACKSON,Rural,Not an Intersection,SR-71,,Motor Vehicle in Transport,1,0,2,2,0,0,0,3,3,April,Tuesday,Clear,Daylight,30.8038,-85.1786
120680,FLORIDA,APOPKA,ORANGE,Urban,Not an Intersection,SR-414,,Rollover/Overturn,1,0,1,1,0,0,0,1,1,April,Wednesday,Clear,Daylight,28.6529,-81.5286
120681,FLORIDA,SAINT PETERSBURG,PINELLAS,Urban,Not Reported,US-19,22ND AVE,Motor Vehicle in Transport,1,1,3,3,0,0,0,3,3,April,Saturday,Clear,Dark - Lighted,27.7486,-82.6793
120682,FLORIDA,SAINT PETERSBURG,PINELLAS,Rural,Not an Intersection,DR MLK ST,,Tree (Standing Only),1,0,1,1,0,0,0,1,1,March,Thursday,Clear,Daylight,27.8125,-82.6469
120683,FLORIDA,Not Applicable,COLUMBIA,Rural,T-Intersection,US-27,CR-138,Motor Vehicle in Transport,1,0,2,2,0,0,0,4,4,April,Friday,Clear,Dark - Not Lighted,29.8532,-82.6413
120684,FLORIDA,Not Applicable,MIAMI-DADE,Urban,Not an Intersection,SR-817,NORTHWEST 159TH ST,Motor Vehicle in Transport,2,0,2,2,0,0,0,3,3,April,Saturday,Clear,Dark - Lighted,25.9191,-80.2443
120685,FLORIDA,Not Applicable,ORANGE,Urban,Four-Way Intersection,SR-429,SCHOFIELD ROAD,Motor Vehicle in Transport,1,0,2,2,0,0,0,2,2,March,Wednesday,Clear,Daylight,28.4488,-81.6430
120686,FLORIDA,Not Applicable,LEVY,Rural,Four-Way Intersection,US-27,CR-335,Motor Vehicle in Transport,1,0,2,2,0,0,0,4,4,April,Monday,Clear,Daylight,29.4413,-82.4660
120687,FLORIDA,Not Applicable,MANATEE,Urban,Not an Intersection,UPPER MANATEE RIVER RD,,Tree (Standing Only),1,0,1,1,0,0,0,1,1,April,Wednesday,Clear,Daylight,27.5061,-82.4336
120688,FLORIDA,HIALEAH,MIAMI-DADE,Urban,Not an Intersection,SR-916,,Motor Vehicle in Transport,1,0,2,2,0,0,0,2,2,April,Saturday,Clear,Dark - Not Lighted,25.8986,-80.3227
120689,FLORIDA,VERNON,WASHINGTON,Rural,Not an Intersection,SR-79,,Rollover/Overturn,1,0,1,1,0,0,0,1,1,April,Friday,Cloudy,Daylight,30.4763,-85.8453
120690,FLORIDA,ISLAMORADA,MONROE,Urban,Not an Intersection,US-1,,Tree (Standing Only),1,0,1,1,0,0,0,1,1,March,Thursday,Clear,Dark - Not Lighted,24.8601,-80.7216
